dest_airport_city,Holiday_type
Aruba,Beach
Bridgetown,Beach
Bourgas,City
Boa Vista,Beach
Sal,Beach
Dubrovnik,Beach
Pula,Beach
Varadero,Beach
Holguin,Beach
Santa Clara,Beach
Cayo Coco,Beach
Paphos,Beach
Larnaca,Beach
Puerto Plata,Beach
Punta Cana,Beach
Samaná ,Beach
Sharm El Sheikh,Beach
Hurghada,Beach
Taba,Beach
Marsa Alam,Beach
Luxor,Beach
Banjul,City
Kefallinia,Beach
Thira,Beach
Zakinthos Is,Beach
Rhodes,Beach
Heraklion,Beach
Thessaloniki,Beach
Kos,Beach
Kerkyra,Beach
Skiathos,Beach
Preveza/Lefkas,Beach
Kavala,Beach
Chania,Beach
Samos,Beach
Kalamata,Beach
Goa,Beach
Naples,City
Catania,Beach
Venice,City
Pisa,City
Alghero,Beach
Montego Bay,Beach
Mombasa,Beach
Male,Beach
Gudja,City
Cancun,Beach
Marrakech,Beach
Agadir,Beach
Faro,Beach
Madeira,Beach
Porto Santo,Beach
Tenerife,Beach
Alicante,Beach
Menorca,Beach
Palma Mallorca,Beach
Lanzarote,Beach
Malaga,Beach
Ibiza,Beach
Almeria,City
Puerto del Rosario,Beach
Las Palmas,Beach
Reus,City
Gerona,Beach
Jerez De La Frontera,Beach
Santa Cruz De La Palma,Beach
Enfidha,City
Djerba,Beach
Dalaman,City
Bodrum.,Beach
Izmir,City
Antalya,Beach
Orlando,City
Las Vegas,City
Orlando,City
Manchester,City
London,City 
Newcastle,City
Leeds,City 
Doncaster,City 
Nottingham,City
London,City
London,City
Edinburgh,City
Birmingham,City
Norwich,City
Bournemouth,City
Glasgow,City
Bristol,City
Durham Tees Valley,City
Cardiff,City
Exeter,City
Belfast,City